Date,Narration,Withdrawal,Deposit
01-07-2025,NEFT: ACME CORP SALARY,0.0,250000.0
01-07-2025,UPI/POS: AMAZON,1475.64,0.0
01-07-2025,UPI/POS: BLINKIT,278.67,0.0
01-07-2025,NEFT: ACME CORP SALARY,0.0,250000.0
01-07-2025,UPI/POS: UPI: AMIT SPLITWISE,1593.14,0.0
02-07-2025,UPI/POS: ZEPTO,207.61,0.0
02-07-2025,UPI: LANDLORD RENT,35000.0,0.0
02-07-2025,UPI/POS: ZEPTO,335.38,0.0
02-07-2025,UPI/POS: SWIGGY,203.95,0.0
02-07-2025,UPI/POS: UPI: KIRANA,99.27,0.0
02-07-2025,UPI: LANDLORD RENT,35000.0,0.0
02-07-2025,UPI/POS: AMAZON,1422.25,0.0
03-07-2025,UPI/POS: UPI: TEA STALL,26.09,0.0
03-07-2025,UPI/POS: NAMMA METRO,56.87,0.0
03-07-2025,UPI/POS: AMAZON,321.32,0.0
03-07-2025,UPI/POS: STARBUCKS,274.16,0.0
03-07-2025,UPI/POS: UBER,229.85,0.0
04-07-2025,UPI/POS: STARBUCKS,336.42,0.0
04-07-2025,UPI/POS: AMAZON,1316.49,0.0
04-07-2025,UPI/POS: UPI: TEA STALL,19.55,0.0
04-07-2025,UPI/POS: AMAZON,1198.44,0.0
05-07-2025,UPI/POS: SWIGGY,291.85,0.0
05-07-2025,UPI/POS: UPI: TEA STALL,21.19,0.0
05-07-2025,UPI/POS: UPI: KIRANA,36.04,0.0
05-07-2025,ACH: HDFC AUTO LOAN,15000.0,0.0
05-07-2025,ACH: HDFC AUTO LOAN,15000.0,0.0
06-07-2025,UPI/POS: OLA CABS,212.73,0.0
06-07-2025,UPI/POS: ZOMATO,220.4,0.0
06-07-2025,UPI/POS: AMAZON,836.43,0.0
07-07-2025,UPI/POS: STARBUCKS,386.31,0.0
07-07-2025,UPI/POS: OLA CABS,105.04,0.0
07-07-2025,UPI/POS: UPI: KIRANA,56.54,0.0
07-07-2025,UPI/POS: STARBUCKS,345.17,0.0
07-07-2025,UPI/POS: UBER,157.25,0.0
07-07-2025,UPI/POS: STARBUCKS,278.96,0.0
07-07-2025,UPI/POS: NAMMA METRO,37.31,0.0
08-07-2025,UPI/POS: AMAZON,971.66,0.0
08-07-2025,UPI/POS: UPI: TEA STALL,25.53,0.0
08-07-2025,UPI/POS: NAMMA METRO,35.76,0.0
08-07-2025,UPI/POS: UPI: AUTO,81.27,0.0
08-07-2025,UPI/POS: OLA CABS,263.08,0.0
09-07-2025,UPI/POS: UPI: TEA STALL,24.5,0.0
09-07-2025,UPI/POS: ZEPTO,307.68,0.0
09-07-2025,UPI/POS: UPI: AUTO,97.22,0.0
09-07-2025,UPI/POS: SWIGGY,305.59,0.0
09-07-2025,UPI/POS: UBER,324.71,0.0
09-07-2025,UPI/POS: UPI: AUTO,42.32,0.0
09-07-2025,UPI/POS: STARBUCKS,369.19,0.0
10-07-2025,POS: NETFLIX,649.0,0.0
10-07-2025,POS: SPOTIFY,119.0,0.0
10-07-2025,POS: SPOTIFY,119.0,0.0
10-07-2025,BBPS: AIRTEL WIFI,1180.0,0.0
10-07-2025,POS: NETFLIX,649.0,0.0
10-07-2025,UPI/POS: ZEPTO,243.27,0.0
10-07-2025,BBPS: AIRTEL WIFI,1180.0,0.0
10-07-2025,UPI/POS: STARBUCKS,373.54,0.0
10-07-2025,UPI/POS: UPI: KIRANA,74.93,0.0
11-07-2025,UPI/POS: UPI: KIRANA,48.47,0.0
11-07-2025,UPI/POS: NAMMA METRO,52.09,0.0
11-07-2025,UPI/POS: OLA CABS,295.46,0.0
11-07-2025,UPI/POS: UPI: KIRANA,34.94,0.0
11-07-2025,UPI/POS: SWIGGY,216.93,0.0
11-07-2025,UPI/POS: UBER,253.2,0.0
11-07-2025,UPI/POS: UPI: TEA STALL,25.07,0.0
11-07-2025,UPI/POS: UPI: TEA STALL,23.36,0.0
11-07-2025,UPI/POS: AMAZON,442.37,0.0
11-07-2025,UPI/POS: BLINKIT,573.05,0.0
12-07-2025,UPI/POS: UPI: TEA STALL,17.43,0.0
12-07-2025,UPI/POS: AMAZON,1292.61,0.0
12-07-2025,UPI/POS: LOCAL BAKERY,137.34,0.0
12-07-2025,UPI/POS: NAMMA METRO,43.53,0.0
12-07-2025,UPI/POS: ZEPTO,366.98,0.0
13-07-2025,UPI/POS: AMAZON,211.13,0.0
13-07-2025,UPI/POS: UPI: NEHA SPLITWISE,1317.15,0.0
13-07-2025,UPI/POS: AMAZON,1329.52,0.0
13-07-2025,UPI/POS: UPI: TEA STALL,20.07,0.0
13-07-2025,UPI/POS: LOCAL BAKERY,123.18,0.0
13-07-2025,UPI/POS: UPI: NEHA SPLITWISE,1786.05,0.0
14-07-2025,UPI/POS: OLA CABS,245.22,0.0
14-07-2025,UPI/POS: UPI: AUTO,91.2,0.0
14-07-2025,UPI/POS: OLA CABS,160.08,0.0
14-07-2025,UPI/POS: AMAZON,1469.04,0.0
14-07-2025,UPI/POS: OLA CABS,139.0,0.0
14-07-2025,UPI/POS: UPI: TEA STALL,25.89,0.0
15-07-2025,UPI/POS: ZOMATO,349.06,0.0
15-07-2025,UPI/POS: LOCAL BAKERY,97.09,0.0
15-07-2025,UPI/POS: UBER,355.8,0.0
15-07-2025,UPI/POS: ZEPTO,283.44,0.0
15-07-2025,UPI/POS: ZOMATO,286.94,0.0
15-07-2025,UPI/POS: AMAZON,1062.06,0.0
16-07-2025,UPI/POS: SWIGGY,341.19,0.0
16-07-2025,UPI/POS: ZOMATO,343.44,0.0
16-07-2025,UPI/POS: UPI: TEA STALL,18.02,0.0
16-07-2025,UPI/POS: AMAZON,440.17,0.0
17-07-2025,UPI/POS: OLA CABS,140.53,0.0
17-07-2025,UPI/POS: UPI: AMIT SPLITWISE,764.85,0.0
17-07-2025,UPI/POS: ZEPTO,186.88,0.0
17-07-2025,UPI/POS: STARBUCKS,304.92,0.0
17-07-2025,UPI/POS: OLA CABS,132.29,0.0
17-07-2025,UPI/POS: UPI: RAHUL SPLITWISE,1398.89,0.0
18-07-2025,UPI/POS: UPI: TEA STALL,26.42,0.0
18-07-2025,UPI/POS: UPI: PRIYA SPLITWISE,1107.01,0.0
18-07-2025,UPI/POS: STARBUCKS,327.91,0.0
18-07-2025,UPI/POS: UPI: KIRANA,46.31,0.0
18-07-2025,UPI/POS: NAMMA METRO,41.75,0.0
18-07-2025,UPI/POS: UPI: AUTO,74.76,0.0
18-07-2025,UPI/POS: UPI: AUTO,90.26,0.0
19-07-2025,UPI/POS: OLA CABS,152.23,0.0
19-07-2025,UPI/POS: UPI: TEA STALL,23.85,0.0
19-07-2025,UPI/POS: UBER,311.85,0.0
20-07-2025,UPI/POS: OLA CABS,216.05,0.0
21-07-2025,UPI/POS: UPI: KIRANA,22.79,0.0
21-07-2025,UPI/POS: ZEPTO,342.78,0.0
21-07-2025,UPI/POS: UPI: TEA STALL,28.94,0.0
21-07-2025,UPI/POS: ZOMATO,375.79,0.0
21-07-2025,UPI/POS: UBER,367.83,0.0
21-07-2025,UPI/POS: BLINKIT,381.96,0.0
22-07-2025,UPI/POS: UPI: AUTO,60.69,0.0
22-07-2025,UPI/POS: UPI: TEA STALL,21.04,0.0
22-07-2025,UPI/POS: UPI: KIRANA,91.34,0.0
22-07-2025,UPI/POS: NAMMA METRO,56.85,0.0
22-07-2025,UPI/POS: NAMMA METRO,56.62,0.0
22-07-2025,UPI/POS: OLA CABS,108.11,0.0
23-07-2025,UPI/POS: OLA CABS,264.05,0.0
23-07-2025,UPI/POS: AMAZON,759.71,0.0
23-07-2025,UPI/POS: UPI: AMIT SPLITWISE,344.84,0.0
23-07-2025,UPI/POS: STARBUCKS,276.5,0.0
24-07-2025,UPI/POS: ZEPTO,370.72,0.0
24-07-2025,UPI/POS: SWIGGY,375.03,0.0
24-07-2025,UPI/POS: NAMMA METRO,51.96,0.0
24-07-2025,UPI/POS: UPI: TEA STALL,25.06,0.0
24-07-2025,UPI/POS: STARBUCKS,267.44,0.0
25-07-2025,UPI/POS: LOCAL BAKERY,60.76,0.0
25-07-2025,UPI/POS: UBER,385.17,0.0
25-07-2025,UPI/POS: OLA CABS,141.48,0.0
25-07-2025,UPI/POS: LOCAL BAKERY,145.17,0.0
26-07-2025,UPI/POS: UBER,342.96,0.0
27-07-2025,UPI/POS: OLA CABS,197.84,0.0
27-07-2025,UPI/POS: LOCAL BAKERY,94.17,0.0
27-07-2025,UPI/POS: UPI: AUTO,67.23,0.0
27-07-2025,UPI/POS: AMAZON,989.12,0.0
28-07-2025,UPI/POS: UPI: TEA STALL,24.87,0.0
28-07-2025,UPI/POS: UPI: KIRANA,27.67,0.0
28-07-2025,UPI/POS: BLINKIT,260.3,0.0
28-07-2025,UPI/POS: ZOMATO,221.0,0.0
28-07-2025,UPI/POS: NAMMA METRO,48.71,0.0
29-07-2025,UPI/POS: UPI: TEA STALL,21.55,0.0
29-07-2025,UPI/POS: SWIGGY,152.08,0.0
29-07-2025,UPI/POS: UPI: AUTO,83.13,0.0
29-07-2025,UPI/POS: SWIGGY,397.22,0.0
29-07-2025,UPI/POS: UPI: KIRANA,33.37,0.0
29-07-2025,UPI/POS: UPI: KIRANA,32.74,0.0
30-07-2025,UPI/POS: ZEPTO,259.91,0.0
30-07-2025,UPI/POS: UBER,165.21,0.0
30-07-2025,UPI/POS: ZEPTO,254.12,0.0
31-07-2025,UPI/POS: UPI: KIRANA,56.72,0.0
31-07-2025,UPI/POS: SWIGGY,269.18,0.0
31-07-2025,UPI/POS: UBER,326.83,0.0
01-08-2025,UPI/POS: UBER,365.95,0.0
01-08-2025,UPI/POS: BLINKIT,552.85,0.0
01-08-2025,UPI/POS: OLA CABS,174.51,0.0
01-08-2025,UPI/POS: ZEPTO,354.39,0.0
01-08-2025,NEFT: ACME CORP SALARY,0.0,250000.0
02-08-2025,UPI/POS: NAMMA METRO,35.53,0.0
