Txn Date,Description,Debit,Credit,Closing Balance
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI: RENT,40000.0,0.0,460000.0
02-01-2024,UPI/POS: PRACTO,817.81,0.0,459182.19
02-01-2024,UPI: RENT,40000.0,0.0,419182.19
07-01-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,339182.19
07-01-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,259182.19
10-01-2024,POS: NETFLIX,649.0,0.0,258533.19
10-01-2024,POS: NETFLIX,649.0,0.0,257884.19
13-01-2024,UPI/POS: INSTAMART,201.38,0.0,257682.81
17-01-2024,UPI/POS: UPI: RAHUL SPLIT,605.62,0.0,257077.19
19-01-2024,UPI/POS: MYNTRA,1997.07,0.0,255080.12
19-01-2024,UPI/POS: ATM WITHDRAWAL,5045.66,0.0,250034.46
12-02-2024,UPI/POS: APOLLO PHARMACY,262.4,0.0,249772.06
14-02-2024,UPI/POS: AMAZON,1370.16,0.0,248401.9
18-02-2024,UPI/POS: CULT FIT,1500.0,0.0,246901.9
20-02-2024,UPI/POS: FLIPKART,1440.11,0.0,245461.79
27-02-2024,UPI/POS: UPI: MOM,3466.7,0.0,241995.09
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,441995.08999999997
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,641995.09
02-03-2024,UPI: RENT,40000.0,0.0,601995.09
02-03-2024,UPI: RENT,40000.0,0.0,561995.09
07-03-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,481995.08999999997
07-03-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,401995.08999999997
10-03-2024,POS: NETFLIX,649.0,0.0,401346.08999999997
10-03-2024,POS: NETFLIX,649.0,0.0,400697.08999999997
12-03-2024,UPI/POS: UPI: MOM,4169.31,0.0,396527.77999999997
13-03-2024,UPI/POS: UPI: RAHUL SPLIT,252.87,0.0,396274.91
21-03-2024,UPI/POS: UPI: MOM,3051.05,0.0,393223.86
22-03-2024,UPI/POS: ATM WITHDRAWAL,9679.45,0.0,383544.41
26-03-2024,UPI/POS: INDIAN OIL,2257.37,0.0,381287.04
01-04-2024,NEFT: SALARY CREDIT,0.0,200000.0,581287.04
02-04-2024,UPI: RENT,40000.0,0.0,541287.04
03-04-2024,UPI/POS: BIGBASKET,2796.24,0.0,538490.8
07-04-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,458490.80000000005
10-04-2024,POS: NETFLIX,649.0,0.0,457841.80000000005
17-04-2024,UPI/POS: AMAZON,2147.25,0.0,455694.55000000005
22-04-2024,UPI/POS: OLA CABS,291.11,0.0,455403.44000000006
23-04-2024,UPI/POS: FLIPKART,1825.63,0.0,453577.81000000006
28-04-2024,UPI/POS: INSTAMART,426.05,0.0,453151.76000000007
01-05-2024,NEFT: SALARY CREDIT,0.0,200000.0,653151.76
02-05-2024,UPI: RENT,40000.0,0.0,613151.76
07-05-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,533151.76
09-05-2024,UPI/POS: UPI: MAID,2770.78,0.0,530380.98
10-05-2024,POS: NETFLIX,649.0,0.0,529731.98
21-05-2024,UPI/POS: INDIAN OIL,1393.21,0.0,528338.77
22-05-2024,UPI/POS: SWIGGY,661.85,0.0,527676.92
24-05-2024,UPI/POS: D-MART,3328.37,0.0,524348.55
26-05-2024,UPI/POS: INDIAN OIL,1126.76,0.0,523221.79000000004
01-06-2024,NEFT: SALARY CREDIT,0.0,200000.0,723221.79
02-06-2024,UPI: RENT,40000.0,0.0,683221.79
07-06-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,603221.79
09-06-2024,UPI/POS: UBER,183.36,0.0,603038.43
10-06-2024,POS: NETFLIX,649.0,0.0,602389.43
20-06-2024,UPI/POS: UPI: MAID,2311.14,0.0,600078.29
23-06-2024,UPI/POS: ATM WITHDRAWAL,4551.69,0.0,595526.6000000001
24-06-2024,UPI/POS: UPI: RAHUL SPLIT,293.21,0.0,595233.3900000001
26-06-2024,UPI/POS: MYNTRA,2980.0,0.0,592253.3900000001
01-07-2024,NEFT: SALARY CREDIT,0.0,200000.0,792253.3900000001
02-07-2024,UPI: RENT,40000.0,0.0,752253.3900000001
03-07-2024,UPI/POS: ATM WITHDRAWAL,5717.79,0.0,746535.6000000001
07-07-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,666535.6000000001
10-07-2024,POS: NETFLIX,649.0,0.0,665886.6000000001
20-07-2024,UPI/POS: ZOMATO,310.84,0.0,665575.7600000001
22-07-2024,UPI/POS: STARBUCKS,460.79,0.0,665114.9700000001
23-07-2024,UPI/POS: INSTAMART,867.14,0.0,664247.8300000001
27-07-2024,UPI/POS: ATM WITHDRAWAL,5810.3,0.0,658437.53
01-08-2024,UPI/POS: CULT FIT,1500.0,0.0,656937.53
01-08-2024,UPI/POS: CULT FIT,1500.0,0.0,655437.53
01-08-2024,NEFT: SALARY CREDIT,0.0,200000.0,855437.53
02-08-2024,UPI: RENT,40000.0,0.0,815437.53
05-08-2024,UPI/POS: BLINKIT,320.48,0.0,815117.05
07-08-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,735117.05
10-08-2024,POS: NETFLIX,649.0,0.0,734468.05
15-08-2024,UPI/POS: PRACTO,640.62,0.0,733827.43
22-08-2024,UPI/POS: CULT FIT,1500.0,0.0,732327.43
29-08-2024,UPI/POS: BIGBASKET,2672.28,0.0,729655.15
01-09-2024,NEFT: SALARY CREDIT,0.0,200000.0,929655.15
02-09-2024,UPI: RENT,40000.0,0.0,889655.15
06-09-2024,UPI/POS: BLINKIT,753.62,0.0,888901.53
07-09-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,808901.53
09-09-2024,UPI/POS: PRACTO,860.41,0.0,808041.12
09-09-2024,UPI/POS: SWIGGY,417.86,0.0,807623.26
10-09-2024,POS: NETFLIX,649.0,0.0,806974.26
24-09-2024,UPI/POS: PRACTO,501.92,0.0,806472.34
28-09-2024,UPI/POS: UBER,387.41,0.0,806084.9299999999
29-09-2024,UPI/POS: OLA CABS,311.75,0.0,805773.1799999999
01-10-2024,NEFT: SALARY CREDIT,0.0,200000.0,1005773.1799999999
02-10-2024,UPI: RENT,40000.0,0.0,965773.1799999999
05-10-2024,UPI/POS: INDIAN OIL,2677.7,0.0,963095.48
07-10-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,883095.48
10-10-2024,POS: NETFLIX,649.0,0.0,882446.48
19-10-2024,UPI/POS: AMAZON,2955.27,0.0,879491.21
20-10-2024,UPI/POS: BIGBASKET,1421.24,0.0,878069.97
01-11-2024,NEFT: SALARY CREDIT,0.0,200000.0,1078069.97
01-11-2024,UPI/POS: ATM WITHDRAWAL,3256.66,0.0,1074813.31
02-11-2024,UPI: RENT,40000.0,0.0,1034813.31
07-11-2024,ACH: MUTUAL FUND SIP,80000.0,0.0,954813.31
10-11-2024,POS: NETFLIX,649.0,0.0,954164.31
