Txn Date,Description,Debit,Credit,Closing Balance
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI: RENT,40000.0,0.0,460000.0
02-01-2024,UPI: RENT,40000.0,0.0,420000.0
02-01-2024,UPI/POS: BLINKIT,507.9,0.0,419492.1
05-01-2024,ACH: LOAN EMI,20000.0,0.0,399492.1
05-01-2024,ACH: LOAN EMI,20000.0,0.0,379492.1
05-01-2024,UPI/POS: FLIPKART,1751.15,0.0,377740.94999999995
05-01-2024,UPI/POS: CULT FIT,1500.0,0.0,376240.94999999995
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,356240.94999999995
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,336240.94999999995
08-01-2024,UPI/POS: MYNTRA,2618.0,0.0,333622.94999999995
08-01-2024,UPI/POS: MYNTRA,2860.76,0.0,330762.18999999994
09-01-2024,UPI/POS: UPI: RAHUL SPLIT,665.65,0.0,330096.5399999999
10-01-2024,UPI/POS: AMAZON,2742.12,0.0,327354.4199999999
10-01-2024,POS: NETFLIX,649.0,0.0,326705.4199999999
10-01-2024,POS: NETFLIX,649.0,0.0,326056.4199999999
13-01-2024,UPI/POS: SWIGGY,670.32,0.0,325386.0999999999
20-01-2024,UPI/POS: UBER,260.83,0.0,325125.2699999999
21-01-2024,UPI/POS: INDIAN OIL,1778.61,0.0,323346.6599999999
22-01-2024,UPI/POS: UPI: RAHUL SPLIT,249.55,0.0,323097.1099999999
24-01-2024,UPI/POS: UPI: MAID,1801.22,0.0,321295.88999999996
26-01-2024,UPI/POS: BIGBASKET,2345.24,0.0,318950.64999999997
27-01-2024,UPI/POS: UBER,342.23,0.0,318608.42
29-01-2024,UPI/POS: UPI: RAHUL SPLIT,501.3,0.0,318107.12
01-02-2024,UPI/POS: ATM WITHDRAWAL,2369.53,0.0,315737.58999999997
01-02-2024,UPI/POS: UPI: MOM,2729.22,0.0,313008.37
02-02-2024,UPI/POS: INDIAN OIL,2782.33,0.0,310226.04
03-02-2024,UPI/POS: PRACTO,819.12,0.0,309406.92
04-02-2024,UPI/POS: UPI: RAHUL SPLIT,604.01,0.0,308802.91
07-02-2024,UPI/POS: STARBUCKS,367.35,0.0,308435.56
10-02-2024,UPI/POS: CULT FIT,1500.0,0.0,306935.56
12-02-2024,UPI/POS: OLA CABS,315.28,0.0,306620.27999999997
14-02-2024,UPI/POS: APOLLO PHARMACY,458.51,0.0,306161.76999999996
18-02-2024,UPI/POS: ATM WITHDRAWAL,8512.73,0.0,297649.04
18-02-2024,UPI/POS: FLIPKART,1684.11,0.0,295964.93
22-02-2024,UPI/POS: ATM WITHDRAWAL,5837.13,0.0,290127.8
23-02-2024,UPI/POS: BLINKIT,699.44,0.0,289428.36
25-02-2024,UPI/POS: CULT FIT,1500.0,0.0,287928.36
26-02-2024,UPI/POS: UPI: MAID,1615.1,0.0,286313.26
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,486313.26
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,686313.26
02-03-2024,UPI: RENT,40000.0,0.0,646313.26
02-03-2024,UPI: RENT,40000.0,0.0,606313.26
03-03-2024,UPI/POS: CULT FIT,1500.0,0.0,604813.26
04-03-2024,UPI/POS: INSTAMART,251.99,0.0,604561.27
05-03-2024,ACH: LOAN EMI,20000.0,0.0,584561.27
05-03-2024,ACH: LOAN EMI,20000.0,0.0,564561.27
05-03-2024,UPI/POS: OLA CABS,215.06,0.0,564346.21
07-03-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,544346.21
07-03-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,524346.21
08-03-2024,UPI/POS: APOLLO PHARMACY,968.54,0.0,523377.67
09-03-2024,UPI/POS: D-MART,4712.48,0.0,518665.19
10-03-2024,POS: NETFLIX,649.0,0.0,518016.19
10-03-2024,POS: NETFLIX,649.0,0.0,517367.19
11-03-2024,UPI/POS: BIGBASKET,1410.71,0.0,515956.48
12-03-2024,UPI/POS: ATM WITHDRAWAL,5579.01,0.0,510377.47
15-03-2024,UPI/POS: AMAZON,1912.66,0.0,508464.81
16-03-2024,UPI/POS: APOLLO PHARMACY,397.85,0.0,508066.96
17-03-2024,UPI/POS: ATM WITHDRAWAL,9998.65,0.0,498068.31
17-03-2024,UPI/POS: UPI: RAHUL SPLIT,707.09,0.0,497361.22
19-03-2024,UPI/POS: AMAZON,1894.39,0.0,495466.82999999996
24-03-2024,UPI/POS: STARBUCKS,392.44,0.0,495074.38999999996
25-03-2024,UPI/POS: UPI: MAID,2382.88,0.0,492691.50999999995
26-03-2024,UPI/POS: ATM WITHDRAWAL,7559.13,0.0,485132.37999999995
01-04-2024,UPI/POS: UPI: MOM,3709.45,0.0,481422.92999999993
01-04-2024,NEFT: SALARY CREDIT,0.0,200000.0,681422.9299999999
02-04-2024,UPI: RENT,40000.0,0.0,641422.9299999999
03-04-2024,UPI/POS: ZOMATO,481.07,0.0,640941.86
05-04-2024,UPI/POS: FLIPKART,1397.74,0.0,639544.12
05-04-2024,UPI/POS: BIGBASKET,2531.08,0.0,637013.04
05-04-2024,ACH: LOAN EMI,20000.0,0.0,617013.04
07-04-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,597013.04
07-04-2024,UPI/POS: BIGBASKET,1156.92,0.0,595856.12
08-04-2024,UPI/POS: BIGBASKET,1648.02,0.0,594208.1
09-04-2024,UPI/POS: UBER,180.16,0.0,594027.94
10-04-2024,POS: NETFLIX,649.0,0.0,593378.94
13-04-2024,UPI/POS: D-MART,2885.4,0.0,590493.5399999999
14-04-2024,UPI/POS: D-MART,3959.08,0.0,586534.46
15-04-2024,UPI/POS: CULT FIT,1500.0,0.0,585034.46
17-04-2024,UPI/POS: CULT FIT,1500.0,0.0,583534.46
17-04-2024,UPI/POS: ZOMATO,756.73,0.0,582777.73
21-04-2024,UPI/POS: ATM WITHDRAWAL,7387.4,0.0,575390.33
24-04-2024,UPI/POS: BLINKIT,605.17,0.0,574785.1599999999
26-04-2024,UPI/POS: STARBUCKS,256.52,0.0,574528.6399999999
01-05-2024,NEFT: SALARY CREDIT,0.0,200000.0,774528.6399999999
02-05-2024,UPI/POS: FLIPKART,896.48,0.0,773632.1599999999
02-05-2024,UPI: RENT,40000.0,0.0,733632.1599999999
03-05-2024,UPI/POS: UPI: MAID,2091.47,0.0,731540.69
05-05-2024,UPI/POS: UPI: MOM,4151.04,0.0,727389.6499999999
05-05-2024,ACH: LOAN EMI,20000.0,0.0,707389.6499999999
06-05-2024,UPI/POS: UPI: MAID,1916.87,0.0,705472.7799999999
07-05-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,685472.7799999999
08-05-2024,UPI/POS: MCDONALDS,261.3,0.0,685211.4799999999
10-05-2024,POS: NETFLIX,649.0,0.0,684562.4799999999
10-05-2024,UPI/POS: AMAZON,2493.47,0.0,682069.0099999999
12-05-2024,UPI/POS: APOLLO PHARMACY,457.65,0.0,681611.3599999999
