Txn Date,Description,Debit,Credit,Closing Balance
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,ATM WITHDRAWAL,500000.0,0.0,0.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI/POS: D-MART,2050.41,0.0,497949.59
02-01-2024,UPI: RENT,40000.0,0.0,457949.59
02-01-2024,UPI: RENT,40000.0,0.0,417949.59
05-01-2024,ACH: LOAN EMI,20000.0,0.0,397949.59
05-01-2024,UPI/POS: ATM WITHDRAWAL,8871.03,0.0,389078.56
05-01-2024,UPI/POS: ATM WITHDRAWAL,7888.91,0.0,381189.65
05-01-2024,ACH: LOAN EMI,20000.0,0.0,361189.65
06-01-2024,UPI/POS: BLINKIT,584.0,0.0,360605.65
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,320605.65
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,340605.65
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,320605.65
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,340605.65
10-01-2024,POS: NETFLIX,649.0,0.0,319307.65
10-01-2024,POS: NETFLIX,649.0,0.0,319956.65
14-01-2024,UPI/POS: D-MART,2156.09,0.0,317151.56
15-01-2024,UPI/POS: UPI: MAID,2267.99,0.0,314883.57
15-01-2024,UPI/POS: NAMMA METRO,92.78,0.0,314790.79
19-01-2024,UPI/POS: FLIPKART,1347.59,0.0,313443.19999999995
20-01-2024,UPI/POS: MYNTRA,2063.51,0.0,311379.68999999994
22-01-2024,UPI/POS: BLINKIT,353.62,0.0,311026.06999999995
23-01-2024,UPI/POS: CULT FIT,1500.0,0.0,309526.06999999995
23-01-2024,UPI/POS: STARBUCKS,251.19,0.0,309274.87999999995
24-01-2024,UPI/POS: PRACTO,763.58,0.0,308511.29999999993
24-01-2024,UPI/POS: PRACTO,943.85,0.0,307567.44999999995
25-01-2024,UPI/POS: UPI: MAID,1516.89,0.0,306050.55999999994
02-02-2024,UPI/POS: NAMMA METRO,75.76,0.0,305974.79999999993
02-02-2024,UPI/POS: AMAZON,744.04,0.0,305230.75999999995
04-02-2024,UPI/POS: ATM WITHDRAWAL,6368.66,0.0,298862.1
05-02-2024,UPI/POS: OLA CABS,272.89,0.0,298589.20999999996
08-02-2024,UPI/POS: ATM WITHDRAWAL,2248.88,0.0,296340.32999999996
08-02-2024,UPI/POS: SWIGGY,533.8,0.0,295806.52999999997
10-02-2024,UPI/POS: PRACTO,543.6,0.0,295262.93
14-02-2024,UPI/POS: ATM WITHDRAWAL,6655.73,0.0,288607.2
14-02-2024,UPI/POS: ATM WITHDRAWAL,7415.21,0.0,281191.99
17-02-2024,UPI/POS: UPI: RAHUL SPLIT,900.66,0.0,280291.33
18-02-2024,UPI/POS: INSTAMART,226.52,0.0,280064.81
24-02-2024,UPI/POS: ATM WITHDRAWAL,9067.57,0.0,270997.24
25-02-2024,UPI/POS: UPI: MAID,2052.66,0.0,268944.58
25-02-2024,UPI/POS: UPI: MAID,2052.66,0.0,268944.58
26-02-2024,UPI/POS: UPI: MOM,2630.0,0.0,266314.58
27-02-2024,UPI/POS: INSTAMART,858.61,0.0,265455.97000000003
01-04-2024,NEFT: SALARY CREDIT,0.0,200000.0,683386.8999999999
01-04-2024,UPI/POS: STARBUCKS,363.76,0.0,683023.1399999999
02-04-2024,UPI/POS: APOLLO PHARMACY,452.22,0.0,682570.9199999999
02-04-2024,UPI: RENT,40000.0,0.0,642570.9199999999
04-04-2024,UPI/POS: UPI: MAID,1723.63,0.0,640847.2899999999
05-04-2024,ACH: LOAN EMI,20000.0,0.0,620847.2899999999
06-04-2024,UPI/POS: ZOMATO,480.26,0.0,620367.0299999999
07-04-2024,UPI/POS: INDIAN OIL,2893.73,0.0,617473.2999999999
07-04-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,597473.2999999999
09-04-2024,UPI/POS: STARBUCKS,399.09,0.0,596381.12
09-04-2024,UPI/POS: PRACTO,693.09,0.0,596780.21
10-04-2024,POS: NETFLIX,649.0,0.0,595732.12
14-04-2024,UPI/POS: NAMMA METRO,173.4,0.0,595558.72
15-04-2024,UPI/POS: MCDONALDS,533.75,0.0,595024.97
18-04-2024,UPI/POS: INSTAMART,462.89,0.0,594562.08
18-04-2024,UPI/POS: D-MART,4499.61,0.0,589489.26
18-04-2024,UPI/POS: PRACTO,573.21,0.0,593988.87
19-04-2024,UPI/POS: D-MART,3184.93,0.0,586304.33
27-04-2024,UPI/POS: CULT FIT,1500.0,0.0,584804.33
28-04-2024,UPI/POS: ATM WITHDRAWAL,9309.55,0.0,575494.7799999999
01-05-2024,UPI/POS: PRACTO,733.63,0.0,574761.1499999999
01-05-2024,NEFT: SALARY CREDIT,0.0,200000.0,774761.1499999999
02-05-2024,UPI/POS: UPI: MOM,2825.82,0.0,771935.33
02-05-2024,UPI: RENT,40000.0,0.0,731935.33
05-05-2024,ACH: LOAN EMI,20000.0,0.0,711935.33
06-05-2024,UPI/POS: ATM WITHDRAWAL,5758.36,0.0,706176.97
07-05-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,686176.97
10-05-2024,POS: NETFLIX,649.0,0.0,685527.97
16-05-2024,UPI/POS: UPI: RAHUL SPLIT,570.14,0.0,684957.83
17-05-2024,UPI/POS: SWIGGY,449.05,0.0,684508.7799999999
17-05-2024,UPI/POS: SWIGGY,759.93,0.0,683748.8499999999
19-05-2024,UPI/POS: UPI: MAID,2817.5,0.0,680931.3499999999
23-05-2024,UPI/POS: UPI: RAHUL SPLIT,483.59,0.0,672710.9199999998
23-05-2024,UPI/POS: UPI: MOM,2830.03,0.0,673194.5099999998
23-05-2024,UPI/POS: ATM WITHDRAWAL,4906.81,0.0,676024.5399999998
25-05-2024,UPI/POS: PRACTO,566.82,0.0,672144.0999999999
26-05-2024,UPI/POS: CULT FIT,1500.0,0.0,670644.0999999999
27-05-2024,UPI/POS: UPI: MOM,3603.21,0.0,667040.8899999999
27-05-2024,UPI/POS: UPI: MAID,2921.87,0.0,664119.0199999999
28-05-2024,UPI/POS: ATM WITHDRAWAL,8143.03,0.0,655975.9899999999
31-05-2024,UPI/POS: ZOMATO,755.57,0.0,655220.4199999999
31-05-2024,UPI/POS: MYNTRA,1185.92,0.0,654034.4999999999
03-06-2024,UPI/POS: UPI: MAID,1547.36,0.0,652487.1399999999
05-06-2024,UPI/POS: D-MART,2227.61,0.0,650259.5299999999
05-06-2024,UPI/POS: D-MART,2227.61,0.0,650259.5299999999
06-06-2024,UPI/POS: BIGBASKET,2785.43,0.0,647474.0999999999
07-06-2024,UPI/POS: INDIAN OIL,2285.74,0.0,645188.3599999999
07-06-2024,UPI/POS: UBER,302.57,0.0,644885.7899999999
10-06-2024,UPI/POS: NAMMA METRO,126.7,0.0,644759.09
11-06-2024,UPI/POS: BLINKIT,699.09,0.0,644060.0
12-06-2024,UPI/POS: APOLLO PHARMACY,745.38,0.0,643314.62
18-06-2024,UPI/POS: UPI: RAHUL SPLIT,922.53,0.0,642392.09
19-06-2024,UPI/POS: SWIGGY,329.17,0.0,641785.1099999999
19-06-2024,UPI/POS: INSTAMART,277.81,0.0,642114.2799999999
22-06-2024,UPI/POS: BIGBASKET,1093.37,0.0,640691.7399999999
22-06-2024,UPI/POS: BIGBASKET,1093.37,0.0,640691.7399999999
23-06-2024,UPI/POS: CULT FIT,1500.0,0.0,639191.7399999999
