Txn Date,Description,Debit,Credit,Balance
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI: RENT,30000.0,0.0,470000.0
02-01-2024,UPI: RENT,30000.0,0.0,440000.0
05-01-2024,ACH: LOAN EMI,90000.0,0.0,350000.0
05-01-2024,ACH: LOAN EMI,90000.0,0.0,260000.0
07-01-2024,UPI/POS: ATM WITHDRAWAL,2651.22,0.0,257348.78
08-01-2024,UPI/POS: STARBUCKS,264.78,0.0,257084.0
08-01-2024,UPI/POS: APOLLO PHARMACY,463.04,0.0,256620.96
09-01-2024,UPI/POS: SWIGGY,376.99,0.0,256243.97
10-01-2024,POS: NETFLIX,649.0,0.0,255594.97
10-01-2024,POS: NETFLIX,649.0,0.0,254945.97
10-01-2024,UPI/POS: MCDONALDS,567.12,0.0,254378.85
12-01-2024,ACH: PERSONAL LOAN EMI,30000.0,0.0,224378.85
12-01-2024,ACH: PERSONAL LOAN EMI,30000.0,0.0,194378.85
14-01-2024,UPI/POS: AMAZON,683.57,0.0,193695.28
15-01-2024,UPI/POS: UPI: RAHUL SPLIT,419.35,0.0,193275.93
15-01-2024,UPI/POS: ZOMATO,396.13,0.0,192879.8
17-01-2024,UPI/POS: UPI: MAID,2890.72,0.0,189989.08
18-01-2024,CREDIT CARD BILL,40000.0,0.0,149989.08
18-01-2024,UPI/POS: APOLLO PHARMACY,419.58,0.0,149569.5
18-01-2024,CREDIT CARD BILL,40000.0,0.0,109569.5
21-01-2024,UPI/POS: ATM WITHDRAWAL,4524.38,0.0,105045.12
24-01-2024,UPI/POS: OLA CABS,155.6,0.0,104889.51999999999
24-01-2024,UPI/POS: INDIAN OIL,1922.24,0.0,102967.27999999998
26-01-2024,UPI/POS: UPI: MOM,4608.0,0.0,98359.27999999998
28-01-2024,UPI/POS: BLINKIT,627.55,0.0,97731.72999999998
01-02-2024,UPI/POS: INSTAMART,403.19,0.0,97328.53999999998
07-02-2024,UPI/POS: ZOMATO,568.17,0.0,96760.36999999998
08-02-2024,UPI/POS: BIGBASKET,2070.26,0.0,94690.10999999999
09-02-2024,UPI/POS: UPI: MAID,2483.27,0.0,92206.83999999998
10-02-2024,UPI/POS: SWIGGY,748.99,0.0,91457.84999999998
11-02-2024,UPI/POS: CULT FIT,1500.0,0.0,89957.84999999998
14-02-2024,UPI/POS: UPI: MAID,1622.71,0.0,88335.13999999997
17-02-2024,UPI/POS: PRACTO,783.87,0.0,87551.26999999997
20-02-2024,UPI/POS: INSTAMART,433.45,0.0,87117.81999999998
22-02-2024,UPI/POS: BLINKIT,476.87,0.0,86640.94999999998
22-02-2024,UPI/POS: UPI: RAHUL SPLIT,537.2,0.0,86103.74999999999
24-02-2024,UPI/POS: APOLLO PHARMACY,380.16,0.0,85723.58999999998
25-02-2024,UPI/POS: UPI: RAHUL SPLIT,201.27,0.0,85522.31999999998
27-02-2024,UPI/POS: ZOMATO,568.58,0.0,84953.73999999998
28-02-2024,UPI/POS: ATM WITHDRAWAL,9256.96,0.0,75696.77999999997
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,275696.77999999997
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,475696.77999999997
02-03-2024,UPI: RENT,30000.0,0.0,445696.77999999997
02-03-2024,UPI: RENT,30000.0,0.0,415696.77999999997
03-03-2024,UPI/POS: BIGBASKET,2877.12,0.0,412819.66
04-03-2024,UPI/POS: BLINKIT,534.92,0.0,412284.74
05-03-2024,ACH: LOAN EMI,90000.0,0.0,322284.74
05-03-2024,ACH: LOAN EMI,90000.0,0.0,232284.74
05-03-2024,UPI/POS: MYNTRA,3864.7,0.0,228420.03999999998
05-03-2024,UPI/POS: ATM WITHDRAWAL,3427.72,0.0,224992.31999999998
06-03-2024,UPI/POS: INDIAN OIL,2292.34,0.0,222699.97999999998
09-03-2024,UPI/POS: ZOMATO,788.07,0.0,221911.90999999997
10-03-2024,POS: NETFLIX,649.0,0.0,221262.90999999997
10-03-2024,POS: NETFLIX,649.0,0.0,220613.90999999997
11-03-2024,UPI/POS: ATM WITHDRAWAL,4656.61,0.0,215957.3
12-03-2024,ACH: PERSONAL LOAN EMI,30000.0,0.0,185957.3
12-03-2024,ACH: PERSONAL LOAN EMI,30000.0,0.0,155957.3
12-03-2024,UPI/POS: ATM WITHDRAWAL,9350.96,0.0,146606.34
14-03-2024,UPI/POS: NAMMA METRO,83.53,0.0,146522.81
15-03-2024,UPI/POS: ZOMATO,447.81,0.0,146075.0
16-03-2024,UPI/POS: D-MART,4580.94,0.0,141494.06
16-03-2024,UPI/POS: AMAZON,2531.6,0.0,138962.46
18-03-2024,CREDIT CARD BILL,40000.0,0.0,98962.45999999999
18-03-2024,CREDIT CARD BILL,40000.0,0.0,58962.45999999999
22-03-2024,UPI/POS: UBER,260.51,0.0,58701.94999999999
25-03-2024,UPI/POS: MCDONALDS,517.56,0.0,58184.38999999999
27-03-2024,UPI/POS: ATM WITHDRAWAL,4401.61,0.0,53782.77999999999
01-04-2024,UPI/POS: BIGBASKET,1878.46,0.0,51904.31999999999
01-04-2024,UPI/POS: FLIPKART,1677.46,0.0,50226.85999999999
01-04-2024,NEFT: SALARY CREDIT,0.0,200000.0,250226.86
02-04-2024,UPI: RENT,30000.0,0.0,220226.86
03-04-2024,UPI/POS: ATM WITHDRAWAL,7041.79,0.0,213185.06999999998
03-04-2024,UPI/POS: APOLLO PHARMACY,341.57,0.0,212843.49999999997
05-04-2024,ACH: LOAN EMI,90000.0,0.0,122843.49999999997
06-04-2024,UPI/POS: PRACTO,853.13,0.0,121990.36999999997
10-04-2024,POS: NETFLIX,649.0,0.0,121341.36999999997
11-04-2024,UPI/POS: MCDONALDS,237.16,0.0,121104.20999999996
11-04-2024,UPI/POS: INDIAN OIL,2847.01,0.0,118257.19999999997
12-04-2024,ACH: PERSONAL LOAN EMI,30000.0,0.0,88257.19999999997
14-04-2024,UPI/POS: FLIPKART,1105.03,0.0,87152.16999999997
14-04-2024,UPI/POS: NAMMA METRO,81.94,0.0,87070.22999999997
18-04-2024,CREDIT CARD BILL,40000.0,0.0,47070.22999999997
21-04-2024,UPI/POS: AMAZON,1653.83,0.0,45416.399999999965
23-04-2024,UPI/POS: AMAZON,2755.93,0.0,42660.469999999965
25-04-2024,UPI/POS: BIGBASKET,1446.9,0.0,41213.56999999996
26-04-2024,UPI/POS: ATM WITHDRAWAL,2381.53,0.0,38832.039999999964
28-04-2024,UPI/POS: MYNTRA,2703.83,0.0,36128.20999999996
28-04-2024,UPI/POS: AMAZON,1481.81,0.0,34646.399999999965
01-05-2024,NEFT: SALARY CREDIT,0.0,200000.0,234646.39999999997
01-05-2024,UPI/POS: AMAZON,535.33,0.0,234111.06999999998
02-05-2024,UPI: RENT,30000.0,0.0,204111.06999999998
02-05-2024,UPI/POS: BIGBASKET,1409.58,0.0,202701.49
02-05-2024,UPI/POS: OLA CABS,209.94,0.0,202491.55
04-05-2024,UPI/POS: OLA CABS,368.64,0.0,202122.90999999997
