Date,Narration,Withdrawal,Deposit,Balance
02-01-2024,UPI: RENT,30000.0,0.0,70000.0
02-01-2024,UPI/POS: ATM WITHDRAWAL,5268.78,0.0,64731.22
02-01-2024,UPI: RENT,30000.0,0.0,34731.22
02-01-2024,UPI/POS: AMAZON,2951.81,0.0,31779.41
02-01-2024,UPI/POS: UBER,307.05,0.0,31472.36
04-01-2024,UPI/POS: ZOMATO,723.4,0.0,30748.96
05-01-2024,UPI/POS: UPI: RAHUL SPLIT,265.22,0.0,30483.739999999998
05-01-2024,UPI/POS: CULT FIT,1500.0,0.0,28983.739999999998
07-01-2024,UPI/POS: CULT FIT,1500.0,0.0,27483.739999999998
07-01-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,17483.739999999998
07-01-2024,UPI/POS: NAMMA METRO,131.05,0.0,17352.69
07-01-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,7352.689999999999
08-01-2024,UPI/POS: AMAZON,2957.04,0.0,4395.649999999999
08-01-2024,UPI/POS: D-MART,3558.83,0.0,836.8199999999988
10-01-2024,POS: NETFLIX,649.0,0.0,187.8199999999988
10-01-2024,POS: NETFLIX,649.0,0.0,-461.1800000000012
13-01-2024,UPI/POS: FLIPKART,634.38,0.0,-1095.5600000000013
13-01-2024,NEFT: CLIENT PAYMENT,0.0,67460.28,66364.72
13-01-2024,UPI/POS: INSTAMART,634.93,0.0,65729.79000000001
16-01-2024,UPI: GST PAYMENT,25000.0,0.0,40729.79000000001
16-01-2024,NEFT: CLIENT PAYMENT,0.0,64923.32,105653.11000000002
17-01-2024,UPI/POS: CULT FIT,1500.0,0.0,104153.11000000002
22-01-2024,NEFT: CLIENT PAYMENT,0.0,66138.19,170291.30000000002
23-01-2024,UPI/POS: NAMMA METRO,127.05,0.0,170164.25000000003
24-01-2024,UPI/POS: CULT FIT,1500.0,0.0,168664.25000000003
01-02-2024,UPI/POS: STARBUCKS,307.46,0.0,168356.79000000004
02-02-2024,UPI/POS: NAMMA METRO,188.59,0.0,168168.20000000004
03-02-2024,UPI/POS: UPI: MAID,1852.28,0.0,166315.92000000004
03-02-2024,UPI/POS: PRACTO,583.78,0.0,165732.14000000004
07-02-2024,UPI/POS: APOLLO PHARMACY,371.65,0.0,165360.49000000005
09-02-2024,NEFT: CLIENT PAYMENT,0.0,38112.16,203472.65000000005
09-02-2024,UPI/POS: STARBUCKS,341.7,0.0,203130.95000000004
13-02-2024,UPI/POS: CULT FIT,1500.0,0.0,201630.95000000004
13-02-2024,UPI/POS: MCDONALDS,251.45,0.0,201379.50000000003
13-02-2024,UPI/POS: UPI: MAID,2630.7,0.0,198748.80000000002
18-02-2024,UPI/POS: UPI: MAID,2352.79,0.0,196396.01
21-02-2024,NEFT: CLIENT PAYMENT,0.0,62310.75,258706.76
22-02-2024,UPI/POS: SWIGGY,703.9,0.0,258002.86000000002
25-02-2024,UPI/POS: INSTAMART,779.61,0.0,257223.25000000003
26-02-2024,UPI/POS: BIGBASKET,1380.53,0.0,255842.72000000003
