Value Date,Transaction Remarks,Withdrawal Amt (INR),Deposit Amt (INR),Balance (INR)
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI/POS: UPI: MOM,4444.72,0.0,495555.28
02-01-2024,UPI/POS: PRACTO,711.74,0.0,494843.54000000004
02-01-2024,UPI: RENT,40000.0,0.0,454843.54000000004
02-01-2024,UPI: RENT,40000.0,0.0,414843.54000000004
03-01-2024,UPI/POS: STARBUCKS,431.61,0.0,414411.93000000005
03-01-2024,UPI/POS: NAMMA METRO,187.81,0.0,414224.12000000005
05-01-2024,ACH: LOAN EMI,10000.0,0.0,404224.12000000005
05-01-2024,ACH: LOAN EMI,10000.0,0.0,394224.12000000005
06-01-2024,POS: ZOMATO,533.36,0.0,393690.76000000007
06-01-2024,POS: FLIPKART,1511.04,0.0,392179.7200000001
06-01-2024,POS: MCDONALDS,395.15,0.0,391784.57000000007
06-01-2024,UPI/POS: ZOMATO,332.24,0.0,391452.3300000001
07-01-2024,POS: FLIPKART,1402.73,0.0,390049.6000000001
07-01-2024,POS: STARBUCKS,381.93,0.0,389667.6700000001
07-01-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,384667.6700000001
07-01-2024,POS: FLIPKART,1842.41,0.0,382825.2600000001
07-01-2024,UPI/POS: ZOMATO,331.23,0.0,382494.03000000014
07-01-2024,POS: MYNTRA,2254.53,0.0,380239.5000000001
07-01-2024,POS: SWIGGY,518.42,0.0,379721.08000000013
07-01-2024,POS: MCDONALDS,564.72,0.0,379156.36000000016
07-01-2024,UPI/POS: UPI: MOM,4886.92,0.0,374269.4400000002
07-01-2024,UPI/POS: ATM WITHDRAWAL,3623.84,0.0,370645.60000000015
07-01-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,365645.60000000015
07-01-2024,POS: MYNTRA,3455.0,0.0,362190.60000000015
07-01-2024,POS: SWIGGY,515.11,0.0,361675.49000000017
07-01-2024,POS: MCDONALDS,403.54,0.0,361271.9500000002
08-01-2024,UPI/POS: ATM WITHDRAWAL,3603.33,0.0,357668.62000000017
08-01-2024,UPI/POS: D-MART,4494.83,0.0,353173.79000000015
09-01-2024,UPI/POS: FLIPKART,1124.18,0.0,352049.61000000016
10-01-2024,UPI/POS: ZOMATO,672.96,0.0,351376.65000000014
10-01-2024,UPI/POS: UPI: MOM,2227.99,0.0,349148.66000000015
10-01-2024,POS: NETFLIX,649.0,0.0,348499.66000000015
10-01-2024,POS: NETFLIX,649.0,0.0,347850.66000000015
10-01-2024,UPI/POS: BIGBASKET,1566.6,0.0,346284.0600000002
13-01-2024,POS: AMAZON,2114.86,0.0,344169.2000000002
13-01-2024,POS: MCDONALDS,473.65,0.0,343695.55000000016
13-01-2024,UPI/POS: UBER,327.76,0.0,343367.79000000015
13-01-2024,UPI/POS: UPI: RAHUL SPLIT,963.64,0.0,342404.15000000014
13-01-2024,POS: MYNTRA,1878.4,0.0,340525.7500000001
13-01-2024,POS: ZOMATO,568.98,0.0,339956.77000000014
13-01-2024,POS: MYNTRA,1004.75,0.0,338952.02000000014
13-01-2024,POS: SWIGGY,584.96,0.0,338367.0600000001
14-01-2024,POS: MYNTRA,1335.61,0.0,337031.4500000001
14-01-2024,POS: SWIGGY,695.65,0.0,336335.8000000001
14-01-2024,POS: FLIPKART,718.67,0.0,335617.1300000001
14-01-2024,UPI/POS: D-MART,2272.18,0.0,333344.9500000001
15-01-2024,UPI/POS: STARBUCKS,326.9,0.0,333018.0500000001
18-01-2024,UPI/POS: UPI: RAHUL SPLIT,263.23,0.0,332754.8200000001
19-01-2024,UPI/POS: MYNTRA,1242.22,0.0,331512.60000000015
21-01-2024,POS: STARBUCKS,279.73,0.0,331232.87000000017
21-01-2024,UPI/POS: OLA CABS,152.48,0.0,331080.3900000002
21-01-2024,POS: AMAZON,1493.23,0.0,329587.1600000002
21-01-2024,POS: AMAZON,1550.92,0.0,328036.2400000002
21-01-2024,POS: SWIGGY,322.53,0.0,327713.7100000002
21-01-2024,POS: MYNTRA,1474.94,0.0,326238.7700000002
21-01-2024,POS: STARBUCKS,381.22,0.0,325857.5500000002
21-01-2024,UPI/POS: FLIPKART,1513.48,0.0,324344.07000000024
21-01-2024,POS: SWIGGY,541.58,0.0,323802.4900000002
21-01-2024,POS: SWIGGY,531.2,0.0,323271.2900000002
21-01-2024,POS: MYNTRA,3602.85,0.0,319668.44000000024
21-01-2024,UPI/POS: ATM WITHDRAWAL,9937.06,0.0,309731.38000000024
22-01-2024,UPI/POS: BLINKIT,550.42,0.0,309180.96000000025
22-01-2024,UPI/POS: MCDONALDS,481.1,0.0,308699.8600000003
22-01-2024,UPI/POS: ATM WITHDRAWAL,8014.18,0.0,300685.6800000003
23-01-2024,UPI/POS: BLINKIT,375.64,0.0,300310.04000000027
23-01-2024,UPI/POS: ATM WITHDRAWAL,6784.65,0.0,293525.39000000025
26-01-2024,UPI/POS: APOLLO PHARMACY,381.04,0.0,293144.35000000027
26-01-2024,UPI/POS: SWIGGY,441.16,0.0,292703.1900000003
02-02-2024,UPI/POS: OLA CABS,294.47,0.0,292408.7200000003
02-02-2024,UPI/POS: CULT FIT,1500.0,0.0,290908.7200000003
04-02-2024,POS: AMAZON,1639.46,0.0,289269.2600000003
04-02-2024,UPI/POS: D-MART,2738.26,0.0,286531.0000000003
04-02-2024,POS: STARBUCKS,330.93,0.0,286200.0700000003
04-02-2024,POS: ZOMATO,684.03,0.0,285516.04000000027
04-02-2024,POS: MCDONALDS,406.8,0.0,285109.2400000003
04-02-2024,POS: ZOMATO,498.46,0.0,284610.78000000026
04-02-2024,POS: STARBUCKS,258.6,0.0,284352.1800000003
04-02-2024,UPI/POS: PRACTO,797.25,0.0,283554.9300000003
04-02-2024,POS: FLIPKART,1467.36,0.0,282087.5700000003
04-02-2024,POS: MCDONALDS,592.22,0.0,281495.3500000003
04-02-2024,UPI/POS: PRACTO,955.07,0.0,280540.2800000003
04-02-2024,POS: MCDONALDS,570.03,0.0,279970.2500000003
04-02-2024,POS: MYNTRA,1177.44,0.0,278792.8100000003
04-02-2024,UPI/POS: INSTAMART,720.84,0.0,278071.97000000026
04-02-2024,POS: MYNTRA,1643.85,0.0,276428.1200000003
04-02-2024,POS: AMAZON,1761.8,0.0,274666.3200000003
06-02-2024,UPI/POS: STARBUCKS,288.09,0.0,274378.2300000003
06-02-2024,UPI/POS: PRACTO,528.88,0.0,273849.35000000027
06-02-2024,UPI/POS: UBER,181.89,0.0,273667.46000000025
07-02-2024,UPI/POS: UPI: MOM,3732.35,0.0,269935.1100000003
08-02-2024,UPI/POS: FLIPKART,1030.9,0.0,268904.21000000025
08-02-2024,UPI/POS: MYNTRA,1274.17,0.0,267630.04000000027
10-02-2024,POS: STARBUCKS,262.79,0.0,267367.2500000003
10-02-2024,POS: ZOMATO,639.79,0.0,266727.4600000003
10-02-2024,UPI/POS: ATM WITHDRAWAL,3151.88,0.0,263575.5800000003
10-02-2024,POS: STARBUCKS,485.29,0.0,263090.2900000003
