Date,Particulars,Balance,Amount
01-01-2024,NEFT: SALARY CREDIT,300000.0,200000.0
01-01-2024,NEFT: SALARY CREDIT,500000.0,200000.0
02-01-2024,UPI: RENT,460000.0,-40000.0
02-01-2024,UPI: RENT,420000.0,-40000.0
03-01-2024,UPI/POS: SWIGGY,419323.4,-676.6
03-01-2024,UPI/POS: APOLLO PHARMACY,418385.55000000005,-937.85
03-01-2024,UPI/POS: OLA CABS,418056.16000000003,-329.39
04-01-2024,UPI/POS: ATM WITHDRAWAL,413915.42000000004,-4140.74
08-01-2024,UPI/POS: APOLLO PHARMACY,413333.64,-581.78
09-01-2024,UPI/POS: ATM WITHDRAWAL,410722.61,-2611.03
10-01-2024,POS: NETFLIX,410073.61,-649.0
10-01-2024,POS: NETFLIX,409424.61,-649.0
11-01-2024,UPI/POS: PRACTO,408744.97,-679.64
15-01-2024,UPI/POS: BLINKIT,408388.72,-356.25
16-01-2024,UPI/POS: APOLLO PHARMACY,408002.02999999997,-386.69
17-01-2024,UPI/POS: ATM WITHDRAWAL,404084.77999999997,-3917.25
17-01-2024,UPI/POS: OLA CABS,403843.36,-241.42
18-01-2024,UPI/POS: CULT FIT,402343.36,-1500.0
22-01-2024,UPI/POS: INSTAMART,401510.98,-832.38
22-01-2024,UPI/POS: ATM WITHDRAWAL,396667.37,-4843.61
22-01-2024,UPI/POS: ATM WITHDRAWAL,389480.77,-7186.6
23-01-2024,UPI/POS: UBER,389176.31,-304.46
23-01-2024,UPI/POS: INSTAMART,388278.39,-897.92
24-01-2024,UPI/POS: D-MART,384761.16000000003,-3517.23
24-01-2024,UPI/POS: UPI: MOM,380685.84,-4075.32
27-01-2024,UPI/POS: D-MART,376426.77,-4259.07
02-02-2024,UPI/POS: UPI: RAHUL SPLIT,375831.62,-595.15
04-02-2024,UPI/POS: OLA CABS,375653.58999999997,-178.03
05-02-2024,UPI/POS: ZOMATO,374889.82999999996,-763.76
08-02-2024,UPI/POS: AMAZON,373487.08999999997,-1402.74
09-02-2024,UPI/POS: UPI: MAID,371291.11,-2195.98
09-02-2024,UPI/POS: ATM WITHDRAWAL,368931.57,-2359.54
10-02-2024,UPI/POS: D-MART,364244.22000000003,-4687.35
13-02-2024,UPI/POS: ATM WITHDRAWAL,355578.73000000004,-8665.49
13-02-2024,UPI/POS: MYNTRA,354252.53,-1326.2
14-02-2024,UPI/POS: FLIPKART,352834.97000000003,-1417.56
15-02-2024,UPI/POS: CULT FIT,351334.97000000003,-1500.0
15-02-2024,UPI/POS: ATM WITHDRAWAL,345084.14,-6250.83
16-02-2024,UPI/POS: ATM WITHDRAWAL,339239.43,-5844.71
17-02-2024,UPI/POS: MYNTRA,338094.91,-1144.52
18-02-2024,UPI/POS: NAMMA METRO,337930.12999999995,-164.78
18-02-2024,UPI/POS: ATM WITHDRAWAL,332606.2299999999,-5323.9
24-02-2024,UPI/POS: INSTAMART,331943.8999999999,-662.33
24-02-2024,UPI/POS: SWIGGY,331419.0999999999,-524.8
27-02-2024,UPI/POS: APOLLO PHARMACY,331132.2099999999,-286.89
28-02-2024,UPI/POS: ATM WITHDRAWAL,321254.7799999999,-9877.43
01-03-2024,NEFT: SALARY CREDIT,521254.7799999999,200000.0
01-03-2024,NEFT: SALARY CREDIT,721254.7799999999,200000.0
02-03-2024,UPI: RENT,681254.7799999999,-40000.0
02-03-2024,UPI: RENT,641254.7799999999,-40000.0
06-03-2024,UPI/POS: INDIAN OIL,638765.4299999999,-2489.35
07-03-2024,UPI/POS: OLA CABS,638373.58,-391.85
08-03-2024,UPI/POS: ATM WITHDRAWAL,628952.24,-9421.34
10-03-2024,POS: NETFLIX,628303.24,-649.0
10-03-2024,POS: NETFLIX,627654.24,-649.0
10-03-2024,UPI/POS: INDIAN OIL,626635.91,-1018.33
11-03-2024,UPI/POS: UPI: MAID,624147.03,-2488.88
13-03-2024,UPI/POS: MCDONALDS,623834.18,-312.85
