Value Date,Transaction Remarks,Withdrawal Amt (INR),Deposit Amt (INR),Balance (INR)
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,300000.0
01-01-2024,NEFT: SALARY CREDIT,0.0,200000.0,500000.0
02-01-2024,UPI: RENT,40000.0,0.0,460000.0
02-01-2024,UPI: RENT,40000.0,0.0,420000.0
02-01-2024,UPI/POS: CULT FIT,1500.0,0.0,418500.0
02-01-2024,UPI/POS: ATM WITHDRAWAL,8634.87,0.0,409865.13
04-01-2024,UPI/POS: D-MART,3551.21,0.0,406313.92
05-01-2024,ACH: LOAN EMI,20000.0,0.0,386313.92
05-01-2024,ACH: LOAN EMI,20000.0,0.0,366313.92
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,346313.92
07-01-2024,ACH: MUTUAL FUND SIP,20000.0,0.0,326313.92
07-01-2024,UPI/POS: UPI: MAID,1955.52,0.0,324358.39999999997
08-01-2024,UPI/POS: MCDONALDS,522.95,0.0,323835.44999999995
10-01-2024,POS: NETFLIX,649.0,0.0,323186.44999999995
10-01-2024,POS: NETFLIX,649.0,0.0,322537.44999999995
11-01-2024,UPI/POS: MCDONALDS,398.37,0.0,322139.07999999996
12-01-2024,UPI/POS: UPI: RAHUL SPLIT,880.84,0.0,321258.23999999993
14-01-2024,UPI/POS: BIGBASKET,2873.58,0.0,318384.6599999999
14-01-2024,UPI/POS: ATM WITHDRAWAL,3137.79,0.0,315246.86999999994
19-01-2024,UPI/POS: AMAZON,1408.87,0.0,313837.99999999994
21-01-2024,UPI/POS: UBER,180.49,0.0,313657.50999999995
22-01-2024,UPI/POS: ATM WITHDRAWAL,9241.29,0.0,304416.22
27-01-2024,UPI/POS: ZOMATO,643.95,0.0,303772.26999999996
29-01-2024,UPI/POS: PRACTO,625.9,0.0,303146.36999999994
29-01-2024,UPI/POS: CULT FIT,1500.0,0.0,301646.36999999994
06-02-2024,UPI/POS: UPI: MAID,2528.38,0.0,299117.98999999993
08-02-2024,UPI/POS: MCDONALDS,372.65,0.0,298745.3399999999
09-02-2024,UPI/POS: PRACTO,616.77,0.0,298128.5699999999
11-02-2024,UPI/POS: UPI: MAID,1759.88,0.0,296368.6899999999
11-02-2024,UPI/POS: INDIAN OIL,1164.78,0.0,295203.90999999986
12-02-2024,UPI/POS: BIGBASKET,1046.45,0.0,294157.45999999985
13-02-2024,UPI/POS: UPI: MAID,2450.98,0.0,291706.47999999986
14-02-2024,UPI/POS: MYNTRA,2327.66,0.0,289378.8199999999
15-02-2024,UPI/POS: PRACTO,845.11,0.0,288533.7099999999
19-02-2024,UPI/POS: APOLLO PHARMACY,964.23,0.0,287569.4799999999
19-02-2024,UPI/POS: STARBUCKS,289.2,0.0,287280.2799999999
22-02-2024,UPI/POS: FLIPKART,1534.69,0.0,285745.5899999999
25-02-2024,UPI/POS: BLINKIT,369.19,0.0,285376.3999999999
25-02-2024,UPI/POS: BIGBASKET,1568.94,0.0,283807.4599999999
26-02-2024,UPI/POS: D-MART,2599.06,0.0,281208.3999999999
